EntryID,Name,CreatedAt
1_snwafs4c,"EPCC, S12 C4, 4466334.wmv",1389901275
1_8my6hm0c,"GOLDSMITH S12 C6 4744783 FIRST SUBMISSION.wmv",1389902453
1_mcrnehj6,riddell_s12m1_5678268.wmv,1389909679
1_mfpyeaia,"Riddell_S12M1_2924830 (2).wmv",1389909892
1_vgb3061w,"epcc powepoint v4.wmv",1389910832
1_lyvmx2tj,"RIDDELL S12M1 3800747.wmv",1389918561
1_4sybhdws,"Lauren Blair-Rains Digital story.wmv",1389956688
1_u8x6v98k,"EPPC Digital Story",1389956977
1_n76uwn9p,"TONI WRIGHT. S12 C4. 0752432..wmv",1389957365
1_ocs05oza,Presentation2.wmv,1389959096
1_r8ifxdzq,"Making a digital story using powerpoint.wmv",1389959946
1_j23awtcc,"Daniels S12 C5 7159694.wmv",1389960063
1_xt5z7087,"Riddell S12 M1 3790050",1389960347
1_x0pp8tld,"Presentation person centred care1.wmv",1389962965
1_u767dt86,dgsfinal2014..wmv,1389964274
1_s7nadwnu,"Rawlings S12 C2 1101348.wmv",1389964725
1_b5qciiff,"therapeutic communication in person centred care",1389964838
1_i3q7fq6m,"Tonkinsmith S12C2 4018286.m4v",1389967212
1_qt9pg5ww,"Howatson- Jones S12 C1 0208975.wmv",1389969398
1_5pwaxdhs,"8945962 person centred.wmv",1389973314
1_740btfcs,"Digital Story Powerpoint .wmv",1389973920
1_wtcaowy5,"Sue Riddell S12 M1 6323211.wmv",1389977442
1_if3yucp8,"DIGITAL PHOTOS RIGHT ONE.1.wmv",1389980348
1_v3erir8n,"Riddell S12M1 2597123.wmv",1389981650
1_57sbm0d0,"Riddell S12M1 3330301.wmv",1389984992
1_jiltbeke,"HELP ME 4.wmv",1389991483
1_rnd3el0f,"Riddell S12 M1 Hanna Ramanouskaya.wmv",1389992909
1_lzc9zt6v,"KarenDaniels S12 Group5 8061251.wmv",1389992965
1_crqdf2ql,"If you don't ask...",1389993692
1_o5c1r7e4,"digital presentation.wmv",1389995559
1_rtaz5h2c,"RIDDELL S12M1 3070776.wmv",1389998828
1_8s7rlw6p,"O'Connor S12M3 4506301.mp4",1390037805
1_51nt8yy7,"ENHANCING PERSON CENTRED CARE",1390052666
1_2mw78gcq,"Roger Goldsmith S12C6 6381331.wmv",1390052936
1_23u42xj6,"Goldsmith S12C6 2683453.wmv",1390059290
1_n12a66kb,"Daniels S12 C5 9781612.wmv",1390061898
1_va1nortf,"Daniels S12 C5 2123197.wmv",1390068932
1_99qjfcfy,"Making a digital story using powerpoint.wmv",1390073148
1_37m9hhc7,"Lenny's story",1390075826
1_v3hatvkv,"person centred care media project.wmv",1390078548
1_3u7m15ya,"Riddell S12M1 3274060.wmv",1390097209
1_rb7w17xj,"Karen Daniels S12 C5    9977960.mp4",1390125750
1_3dteb8ba,"Karen Daniels S12 C5    9977960.mp4",1390126351
1_1e23txng,"Enhancing Person-Centred Care",1390127805
1_lo1llz0c,EPCCsub.wmv,1390131686
1_82fx0jnv,"Daniels S12 C5 1717765.wmv",1390135611
1_gd38mpl6,"Daniels  S12 C5.wmv",1390138091
1_sjip0l17,"Making a digital story using powerpoint.wmv",1390146060
1_nh0zf4km,"Melvia Finney's Digital Story.mov",1390146183
1_4k1mb7e9,"Roger Goldsmith S12 C6 4203334.wmv",1390146302
1_xz7z03x7,"Johnstone S12C3 4757886.wmv",1390147344
1_al2h1gjk,"Toni Wright S12 C4 0264472.wmv",1390148076
1_gz5q7kv5,"A DITGITAL STORY OF ALICE  PRESEENTED BY ADA KALU (2).wmv",1390149342
1_3233cwa2,"Johnstone S12 C3 2992279.wmv",1390151842
1_uakc92pq,"My Digital story.wmv",1390152746
1_pgiueopa,"daniels S12C5 4359553.wmv",1390153076
1_02uoyd22,"Enhancing person-centred care digital story",1390154523
1_jwuanvev,"Daniels S12C5 6235618.mp4",1390157511
1_f4g9dlo8,"Johnstone S12 C3 CRA12056507.wmv",1390158510
1_soouui7f,"Digital Story on Patient Centred Care final.wmv",1390158731
1_9vc8bvlv,"MAKING A DIGITAL SORY USING POWERPOINT.wmv",1390158743
1_8usgb404,"Karen Daniels S12 C5 9321335.mov",1390159474
1_r0jvia22,"Tonkinsmith S12 C2 4695967",1390163653
1_w1edrdqu,"narrative story finish final draft.wmv",1390163999
1_8jr7ap1u,"epcc storyboard final recording.wmv",1390164999
1_f3uyvuvy,"bs digital story4.wmv",1390165211
1_451wl92j,"epcc storyboard final recording.wmv",1390165626
1_29ca3z37,"Daniels S12 C5 2988776.wmv",1390167851
1_2x7awaz2,"Enhancing Person Centred Care",1390167984
1_tnn27137,"My Digital story Amy Fitzgerald C1 S12 ..wmv",1390171181
1_x5ezzx9s,"EPCC- Lilys Stoy.wmv",1390171289
1_9va2h9p0,"Tom's Story Wright S12 C4 5125996.wmv",1390171650
1_vz8r0jp3,"final presentation digital story.mp4",1390186518
1_p8hc4d37,"Johnson S12 c3 1311490.wmv",1390210919
1_y73hwh3g,"Daniels_S12 C5_4063331.wmv",1390213742
1_0nrt6jnn,"Oconnor   S12M3    0458149.wmv",1390214808
1_woqpsd43,"Oconnor   S12M3    0458149.wmv",1390215889
1_vll45oj3,"Roger Goldsmith S12 C6 3868946.wmv",1390217756
1_ysrszmbv,"Tonkinsmith S12 C2 9704522.wmv",1390217883
1_6rhbtc7c,"EPCC- final.wmv",1390221297
1_rkadxagm,"Enhancing Person Centred Care - Digital Storyboard.wmv",1390221297
1_76momsp1,"Johnstone S12 C3 1403562.wmv",1390222077
1_lhgcqo57,"Anna Johnstone S12 C3 6442528.wmv",1390222144
1_8fflrm18,"Johnstone S12C3 0059053.wmv",1390222202
1_06j4dmag,"O'conor  S12m3 8779885.wmv ",1390223037
1_gcpvjvhf,"PCC Presentation1.wmv",1390223137
1_7ykswnuh,"Gemma Tonkinsmith S12 C2 3774467.wmv",1390223181
1_pelgswxc,"Daniels S12C5 6858377.wmv",1390224095
1_ipvtjed2,"Enhancing Person Centred Care Digital Story.wmv",1390224706
1_saepl4t9,"Enhancing Person Centred Care Digital Story.wmv",1390224844
1_oqr7soqv,"Enhancing person centred care slide show.wmv",1390225002
1_o0j9pj3r,"Daniels S12C5 9899103.wmv",1390225055
1_1a509xcb,"Johnstone S12C3 1540889.wmv",1390226017
1_awngivjv,"Enhancing Person-Centred Care HH.wmv",1390226295
1_x6vhab38,"digital story 3.wmv",1390226420
1_dd5q7ggv,"digital story 3.wmv",1390227110
1_66v8wnn9,"Jenny's story (complete).wmv",1390227748
1_31zj53vc,"EPCCASSIGN.2withFULL recording.wmv",1390228607
1_u00gs76r,"Johnstone S12 2348564.wmv",1390229466
1_s31esflq,"S12 C3 Johnston, 7920653.wmv",1390229683
1_o7xmrith,"Digital Story- M2(Uche Nnadi).wmv",1390230729
1_hi9a47uv,"Digital Story- M2(Uche Nnadi).wmv",1390231511
1_c32stovl,"Digital Story- M2(Uche Nnadi).wmv",1390232198
1_0roew4mj,"making digital storin using powerpoint.wmv",1390232291
1_i56mi8m7,"Tonkinsmith S12C2 5364037.wmv",1390232631
1_xdx7x97y,GEDV0024.MOV,1390233206
1_5xdow3sc,"DIGITAL STORY.wmv",1390239687
1_c1teq3sg,"howatson-jones s12c1 2229023.wmv",1390241600
1_3zbu5oav,"digital story- final rochelle.mp4",1390245445
1_ba7o6qts,PCC,1390247793
1_3ecl7fdo,"J.tonkinson s12 c2 1173687.wmv",1390249036
1_gfon7udt,"J.tonkinson s12 c2 1173687.wmv",1390249270
1_rjk8t0it,"J.tonkinson s12 c2 1173687.wmv",1390251401
1_9scj8jfj,"HELP%2cHELP1 (3).wmv",1390254057
1_wbevxe3l,"making digital story using powerpoint.wmv",1390317273
1_zj3l5tpm,"S12 C5 Karen Daniels Candidate number 1336615.wmv",1390317704
1_swaklye6,"making a digital story using power point.wmv",1390402467
1_c0fk81m7,"The Digital Scholar: A Digital Narrative",1390557403
1_7nduvmyd,"CSI Worksheets.wmv",1390577420
1_ba2b90k6,"ToniWright S12C4 9227214.wmv",1390908428
1_hqt2go25,"CSI Worksheets.wmv",1390925485
1_0lcgzx4x,"packaging exhibits.wmv",1390986143
1_2wc6pr4m,"packaging exhibits.wmv",1390986359
1_gls1gu06,"packaging exhibits.wmv",1390986579
1_yu1d9brg,"lab notes.wmv",1390986911
1_1ruc9cp0,"Scientific statements.wmv",1390987463
1_pzvatg4b,"Scientific statements.wmv",1390987635
1_23zkcng2,"The Expert witness.wmv",1390988266
1_w1iays2d,"radiography video.wmv",1391423249
1_bnqe8kdc,"Tonkinsmith S12C2 4018286.m4v",1391455269
1_1cdej040,"Toxicology Calculations.wmv",1391704135
1_tp9qze0o,"Alcohol Calculations - audiogude.wmv",1391707792
1_1aokm97d,"GSR - Audio Slides.wmv",1391789807
1_phchvi7h,"IV fluids.MOV",1392208459
1_u320arcr,"Aeseptic Technique.MOV",1392209373
1_9mzc9pcb,compactshelvingbutton.wmv,1392646417
1_2wkb0acv,"screencast introduction to PebblePad.mp4",1392646903
1_huiw0agi,"screencast introduction to PebblePad.mp4",1392646968
1_9ixhxo0j,"Enhancing Person Centred Care",1392664111
1_j4nk47b5,"Creativity in the workplace (3) - Brendan McCormack 13 02 2014.wmv",1392735769
1_ixjhtwqm,"TLC lab - audioguide.wmv",1392797992
1_iucyd9nz,"Jan Dewing on Active Learning_x264.mp4",1392807278
1_m9g5508d,"Assignment Collaborate.mp4",1393265456
1_j69mrt6j,"Assignment Collaborate.mp4 - clip",1393267645
1_t899wxmf,"1st harmonic.avi",1393423580
1_cew4fwg6,"kinematics experiment.wmv",1393423928
1_l2zrwtfa,"kinematics experiment.wmv",1393426100
1_t3zvgjq5,"Heat Experiments.wmv",1393433692
1_qa1rvxoc,"Specific Heat.wmv",1393434597
1_ll5umicu,"Gas laws.wmv",1393435258
1_ynwxrkfj,"newtons experiment1.wmv",1393506825
1_3io1xupt,"Image Interpretation 3 Search Strategy Revision.wmv",1393839348
1_tagjhh00,"Image Interpretation 3 - Chest X-Ray Revision.wmv",1393839562
1_fiao2poq,"Image Interpretation 3 - CT Head Revision.wmv",1393839957
1_3zarqmp4,"Image Interpretation 3 Facial Bones Revision.wmv",1393840109
1_wg2a1uyv,"Image Interpretation 3 Search Strategy Revision.mp4",1394121792
1_vmp66y0x,"Image Interpretation 3 - Chest X-Ray Revision.mp4",1394121792
1_tx0zjjfz,"Image Interpretation 3 - CT Head Revision.mp4",1394121793
1_inci4rp1,"Image Interpretation 3 - Chest X-Ray Revision.mp4",1394123304
1_cyt9ylia,"Image Interpretation 3 - CT Head Revision.mp4",1394125399
1_aue0pjy2,"Explosion practical.wmv",1394537273
1_tdnjjwyq,"Audioslides-Example-About-Audioslides-in-HE-Simon-Starr-March-2011 vid.wmv",1394808450
1_p1i02bnd,00248.wmv,1395239724
1_7r2kdb5j,"Lynne's test",1395250032
1_las5y0wp,00248(2).mp4,1395267567
1_oz9hhsdb,"Image Interpretation 3 Facial Bones Revision.mp4",1395311776
1_qmwgbzip,Overdrive,1395429329
1_hbeuimpa,trapped,1395652833
1_5idj7rn2,"trapped - clip",1395653130
0_zhcnvo81,"revision movie.mp4",1395744051
1_5cb2epoq,"Out and About CCCU.m4v",1395793303
1_zrq14zy9,"Out and About CCCU.m4v",1395863738
1_p2a5v543,"Out and About CCCU.m4v",1395864645
1_jxnrdep3,"DIGITAL STORY PRESENTATION 2.wmv",1396264586
1_xdu0468s,"New EPPC.wmv",1396284019
1_3lsoqhqa,"Enhancing Person-Centred Care final - edited.wmv",1396359117
1_l5zgibew,"Melvia Finney's Digital Story.wmv",1396359892
1_xgsq9mq5,"A Short Film About Puffins.m4v",1396881425
1_zj810ok3,"2. High education policies, practices and students' narrated  experiences -Chrissie.wmv",1397056066
1_z5wz4smx,"3 - Role of individual in the group ... victoria.wmv",1397059961
1_igryzt7x,"4. Standing on shifting ground. Learning to expect the unexpected -Lanny.wmv",1397483154
1_l3ja78qd,"1. Introduction - Adrian Part 1.wmv",1397576691
1_3nwww4yb,"1. Introduction - Adrian Part 2.wmv",1397727595
1_dbiydmya,"5. Shaping research questions through experience -Rob -Part 1.wmv",1397728164
1_xpribbto,"5. Shaping research questions through experience -Rob -Part 2.wmv",1397728809
1_aku5ecyd,"Lynne test web cam",1398413054
0_elf7sgdv,overdrive.m4v,1398597726
1_ip3ny2x0,GEDV0004.MOV,1398956651
1_ea0dyp6c,GEDV0003.MOV,1398956939
1_2sau0try,GEDV0005.MOV,1398957076
1_xb33jttf,GEDV0006.MOV,1398957210
1_p6786x41,GEDV0007.MOV,1398957322
1_1ceus90n,GEDV0008.MOV,1398957456
1_zuwgmx3o,"Enharce patient carew vesela. pehlivanovewmv",1399564270
1_7mrg4d0s,"Screen recorded at 19 May 2014 01:41 PM",1400503581
1_wnhhzmjz,"bad- sen1.MOV",1401181206
1_ufeiw73u,"good- sen1.MOV",1401181206
1_19qqa7g3,"bad- sen.2.MOV",1401181207
1_119picnu,good-sen2.MOV,1401181207
1_uiwy6sy6,"bad sen.3.MOV",1401181207
1_ti7z9n71,"good sen3.MOV",1401181207
1_ee81fbcd,"bad sen4.MOV",1401181208
1_sb9lihsw,"good sen4.MOV",1401181208
1_zeietaq5,"good sen4.MOV",1401181208
1_huzqse6p,"bad- sen.5.MOV",1401181209
1_2p7gl78h,"Good- sen5.MOV",1401181209
1_q1urax20,"bad sen6.MOV",1401181209
1_8qsd21un,"good sen6.MOV",1401181210
1_0era2et4,Bad-sen.7.MOV,1401181210
1_7kdh8xam,"good sen.7.MOV",1401181210
1_j98h56gi,"bad sen8.MOV",1401181211
1_l5kklr1m,"good sen 8.MOV",1401181211
1_p49ucnu8,"MYP - Scenario 1 G",1401181687
1_so3bz18k,"MYP Scenario 1 B",1401182857
1_9czen3xs,"MYP Scenario 1 G",1401182949
1_1jmezcmt,"MYP Scenario 2 B",1401183120
1_drypqghv,"MYP Scenario 2 G",1401183202
1_c8mvth13,"MYP Scenario 3 B",1401183263
1_7cjtfd11,"MYP Scenario 2 G",1401183557
1_u3kv0hef,"MYP Scenario 4 B",1401183630
1_c36nvpwu,"MYP Scenario 4 G",1401183697
1_lv7ty9j9,"MYP Scenario 5 B",1401183994
1_xpuydo8x,"MYP Scenario 5 G",1401184075
1_pbgx971f,"MYP Scenario 6 B",1401184149
1_dlbfzjbs,"MYP Scenario 6 G",1401184227
1_8bfexmig,"MYP Scenario 7 B",1401184318
1_sd1s1mok,"MYP Scenario 7 G",1401184389
1_hhh5e9g9,"MYP Scenario 8 B",1401184475
1_44k9u938,"MYP Scenario 8 G",1401184545
1_nsdz4qhp,"digital story 1.wmv",1401886331
1_co7in0kr,"Test Assignment.avi",1402059576
1_4awp1c8p,"GTomkinson S12 C2 1173687.wmv",1402313722
1_sf3o3ap4,"GTomkinson S12 C2 1173687.wmv",1402316994
1_50hck3bd,"Front Screen 3 with no narration",1403085835
1_m4igm4qe,"Front Screen 4 with narration",1403088349
1_jkc4i0y0,"Test laughing",1403254765
1_i84jwgzt,"Logging into PebblePad sound",1403255622
1_1qldu9pd,"Logging to pebblepad for audioslides sound in powerpoint",1403268790
1_hh71ny85,"Logging to pebblepad for audioslides using Kaltura audio",1403268941
1_ozdz77o6,"First test BB overview",1403278825
1_ubxaj47o,"Screencast 2 SM",1403534722
1_e2qkwky3,"Screencast 4 SM",1403535482
1_kucfw1bd,"Oxford Brookes - Interpreting Originality Reports",1403701470
1_ce6htjoi,"Oxford Brookes - Interpreting Originality Reports",1403711391
1_ufpiukgu,"tympanic temp pt1",1403788344
1_8pcx50px,"Preparing for tympanic temp pt1 - clip",1403798758
1_xzei6ppj,"Turnitin - Interpreting your originality report FINAL",1403799147
1_pku2lsc1,"Blackboard - A brief preview of the new system",1403865447
1_8j9zhrq9,"GTomkinson S12 C2 1173687.wmv",1403867425
1_ga2ysfj8,"MMSE - New.mov",1404379297
1_un29kxtl,Audioslides-Example-About-Audioslides-in-HE-Simon-Starr-March-2011.wmv,1404401078
1_8mk62g1o,"Screen recorded at 08 Jul 2014 11:11 AM",1404814598
1_njs62dtm,"Library services TEST.wmv",1405071069
1_7tl9ogke,"Library Education welcome video.wmv",1405082739
1_5yqfgq6p,"Library Education welcome video.wmv",1405088209
1_i4wrkgmw,"Library Education welcome video.wmv",1405088378
1_refkyunj,"Library Education welcome video.wmv",1405088650
1_m4f7kriu,"Print2Mark (P2M): Submitting work for printing",1405341747
1_hgokfnsj,"Kaltura: Introduction for Staff - clip",1405343418
1_e0vcl4jq,"Blackboard Introduction for New Students",1405347159
1_m95emeck,"filter by module].wmv",1405347693
1_9xmn4q6n,"how to open a file and folder.wmv",1405347946
1_44cdu3wg,"Kaltura - An introduction for staff",1405421892
1_4lz7sgy9,"Library Education welcome video.wmv",1405431356
1_1i185947,"Roster Syncing in Turnitin",1405675499
1_aoc86sm5,"Archiving Students Work in Turnitin",1405677159
1_f8omeaxc,"Roster Syncing in Turnitin",1405683294
1_t7umy44u,"Test Assignment.avi - clip",1405943831
1_t943yn36,"Tips for creating an easy-to-use Blackboard site",1405955735
1_wawitz5q,"How to create an effective Bb site",1406017190
1_cegle1q7,"Intro for New Students 1",1406022806
1_wy86a7yj,"Teaching Requests Data Quality Check Guide.wmv",1406037466
1_keh2183b,"Teaching Requests Data Quality Check Guide.wmv",1406037555
1_mr41ydys,"Blackboard Introduction for Existing Students",1406101427
1_n70fclrh,"Adding users to Blackboard",1406122674
1_cn9289mu,"Enrolling Users on a Blackboard Site",1406193092
1_sezry5fb,"Submitting Assignments for Health IPL students",1406194886
1_r6w01jq5,"Turnitin - Health IPL Students How to Submit Assignments",1406289779
1_64x8sxwg,"Mentor_update_2010-2011julieversion with sound.wmv",1406291991
1_agaqbk8b,"IST Animation o365_2014.wmv",1406294801
1_f8koxkx0,"IST Animation o365_2014_v2.wmv",1406299062
1_k0924owx,"IST Animation o365_2014_v2.wmv",1406299491
1_ct5bnhtr,"Blackboard - Introduction for staff",1406538477
1_3unuaqul,"Turnitin - How to submit",1406564126
1_ltot2ou0,"Archiving Students work in Turnitin",1406624257
1_9a3n0e0n,"Archiving Students work with eFeedback in Turnitin",1406626127
1_n5cwkn4z,"Archiving Student Submissions on Turnitin",1406794151
1_r4xnyzt3,"Archiving Student Submissions with e-Feedback on Turnitin",1406795070
1_f1dn1com,"Using the new Text Editor",1406803235
1_g5777ob5,"Intro to Blackboard Orientation video",1406816786
1_387bx4fk,"My courses personalisation video",1406817287
1_s030u9oi,"Managing and using module widgets",1406817782
1_rqnopbnc,"Editing the course menu",1406819064
1_dug1utfz,"Introduction to Blackboard for Applicants",1406903192
1_na523wus,"Online European Directives workbook for Adult Nursing",1407165021
1_jyovmols,"European Directives workbook for staff",1407165916
1_q5xg6ez3,perfectprimarysurvey2,1407231192
1_d097niux,"Saving or Printing your feedback from Turnitin",1408013523
0_x7fm84n9,"Test Screencast.avi",1408359511
1_5mh3poxi,"Test screen recording",1408438646
1_as9ro7z8,"Print2Mark - Submitting work for printing",1409308608
1_h5g5ks2a,"Accessing a reflection template and adding it to your Blog",1409587080
1_1a0cy8gg,"Tagging Assets in PebblePad",1409587823
1_1ceoiwac,"Screen recorded at 04 Sep 2014 04:04 PM",1409843262
1_v86fdtmn,"Screen recorded at 05 Sep 2014 12:04 PM",1409915274
1_95zzii04,"Patient centered care.wmv",1410429717
1_p1z62p3u,"ppt person centred care.wmv",1410429720
1_o8bl8ut5,"EPCC Digital story 11062014.wmv",1410429764
1_j8e0feu8,"Digital Story Presentation 12th.wmv",1410431201
1_khyrk8xp,"EPCC Presentation FINAL -wmv.wmv",1410431525
1_2cy4thj9,"Introduction to Blackboard",1410525403
1_87w57748,"Screencast Test File.avi",1410525642
1_fgjpq9v1,"Zero to Hero 2.mov",1410777513
1_jzkxxl7i,"Zero to Hero 2.mov",1410777959
1_lo5pfu7m,"EPCC digital story",1410858778
1_c2ud9y8o,"EPCC Digital Story",1410858781
1_cl4smnp6,"EPCC Digital story",1410870217
1_vexlwouc,"EPCC Digital story",1410870217
1_igwwhmm2,"digital story final versionwmv",1410871318
1_dy0xfq8k,"My patient presintation.wmv",1410872870
1_mhr2tw8a,"digital story audio final version.wmv",1410880380
1_hjsig69d,"Digital story by Joseline Anang-Hagan  with audio final version.wmv",1410944432
1_2yyq8lq3,"Digital Story by Michael Jacobs Final version.wmv",1410959320
1_584lhpjf,"digital story Final version.wmv",1410962874
1_7yvz0tp4,"Digital story - Mr Fox.wmv",1411014775
1_jd2cyqsf,"Enhancing Person Centred Care: Digital Story_ presentation_Alice1_FINAL EDIT.pptx.wmv",1411041409
1_i99tkga7,"Enhancing Person Centred Care Summative Assessment",1411066694
1_p1mtellv,"Digital story board final - Copy (2).wmv",1411125242
1_fxhmdhq0,"Anthony Kimbuth recorded digital story for submission.wmv",1411126688
1_0jabtp20,"Stacey epcc digital story.wmv",1411129229
1_33ag4txv,"presentation digital story by Nancy finished!!.wmv",1411130904
1_5fh04ce6,"Digital Story - Final Submission.wmv",1411132763
1_m0jjgnoe,"Digital Story Audio Final Version.wmv",1411133875
1_ip5yylsq,"DIGITAL STORY AUDIO FINAL VERSION.wmv",1411133883
1_cc3ukow9,"FINAL DIGITAL STORY.wmv",1411133966
1_phsqhyb7,"EPCC Digital Story",1411134053
1_5754yuee,FinalsubmissionEPCC.wmv,1411134095
1_mwgsnwan,"Final Digital Story submission.wmv",1411134220
1_xhn8yuhp,"EPCC digital story ",1411134426
1_jhsn5lg9,"EPCC Didital Story ",1411134437
1_irigaky8,"Enhancing Person Centred Care Digital Story ",1411134475
1_hsxkicay,"EPCC Digital Story",1411134525
1_oz15vbqy,"Penelope Seymour - EPCC Digital Story.wmv",1411136646
1_vl67bc53,"EPCC Digital Story",1411137636
1_6i4wwdb2,"EPCC HAND THIS ONE IN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!.pptx.wmv",1411138178
1_7b63ihvz,"Enhancing person-centred care, digital story.wmv",1411139127
